,0,1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,5
6,3,5
7,4,5
8,5,5
9,5,4
10,5,3
11,6,3
12,7,3
13,8,3
14,9,3
15,10,3
16,11,3
17,11,2
18,11,1
19,12,1
20,13,1
21,13,2
22,13,3
23,13,4
24,13,5
25,14,5
26,15,5
27,16,5
28,17,5
29,18,5
30,19,5
31,19,4
32,19,3
33,20,3
34,21,3
35,22,3
36,23,3
37,23,4
38,23,5
39,22,5
40,21,5
41,21,6
42,21,7
43,20,7
44,19,7
45,19,8
46,19,9
47,18,9
48,17,9
49,17,10
50,17,11
51,18,11
52,19,11
53,20,11
54,21,11
55,21,10
56,21,9
57,22,9
58,23,9
59,24,9
60,25,9
61,25,8
62,25,9
63,25,8
64,25,7
65,25,6
66,25,5
67,26,5
68,27,5
69,28,5
70,29,5
71,30,5
72,31,5
73,32,5
74,33,5
75,34,5
76,35,5
77,35,6
78,35,7
79,35,6
80,35,7
81,34,7
82,35,7
83,34,7
84,33,7
85,33,8
86,33,9
87,32,9
88,31,9
89,30,9
90,29,9
91,29,8
92,29,7
93,28,7
94,27,7
95,27,8
96,27,9
97,27,10
98,27,11
99,27,12
100,27,13
101,28,13
102,29,13
103,29,14
104,29,15
105,28,15
106,27,15
107,26,15
108,25,15
109,24,15
110,23,15
111,23,14
112,23,13
113,22,13
114,21,13
115,21,14
116,21,15
117,20,15
118,19,15
119,19,16
120,19,17
121,18,17
122,17,17
123,16,17
124,15,17
125,16,17
126,15,17
127,14,17
128,13,17
129,12,17
130,11,17
131,11,16
132,11,15
133,11,14
134,11,13
135,10,13
136,9,13
137,9,14
138,9,15
139,8,15
140,7,15
141,7,16
142,7,17
143,7,18
144,7,19
145,8,19
146,7,19
147,8,19
148,9,19
149,9,20
150,9,21
151,8,21
152,7,21
153,6,21
154,5,21
155,5,20
156,5,19
157,4,19
158,3,19
159,4,19
160,3,19
161,3,18
162,3,17
163,3,16
164,3,15
165,2,15
166,1,15
167,1,16
168,1,17
169,1,18
170,1,19
171,1,20
172,1,19
173,1,20
174,1,21
175,2,21
176,3,21
177,3,22
178,3,23
179,3,24
180,3,25
181,2,25
182,1,25
183,1,26
184,1,27
185,1,26
186,1,27
187,2,27
188,3,27
189,4,27
190,5,27
191,6,27
192,7,27
193,8,27
194,9,27
195,10,27
196,11,27
197,12,27
198,13,27
199,13,26
200,13,25
201,13,26
202,13,25
203,13,24
204,13,23
205,12,23
206,13,23
207,12,23
208,11,23
209,11,22
210,11,21
211,12,21
212,13,21
213,14,21
214,15,21
215,15,20
216,15,19
