,0,1
0,1,1
1,2,1
2,3,1
3,2,1
4,3,1
5,2,1
6,3,1
7,2,1
8,3,1
9,2,1
10,1,1
11,1,2
12,1,3
13,1,4
14,1,5
15,2,5
16,3,5
17,4,5
18,5,5
19,5,4
20,5,3
21,6,3
22,7,3
23,8,3
24,9,3
25,10,3
26,11,3
27,11,2
28,11,1
29,12,1
30,13,1
31,13,2
32,13,3
33,13,4
34,13,5
35,14,5
36,15,5
37,16,5
38,17,5
39,18,5
40,19,5
41,19,4
42,19,3
43,20,3
44,21,3
45,22,3
46,23,3
47,23,4
48,23,5
49,22,5
50,21,5
51,21,6
52,21,7
53,20,7
54,19,7
55,20,7
56,19,7
57,19,8
58,19,9
59,18,9
60,17,9
61,17,10
62,17,11
63,18,11
64,19,11
65,20,11
66,21,11
67,21,10
68,21,9
69,22,9
70,23,9
71,24,9
72,25,9
73,25,8
74,25,7
75,25,6
76,25,5
77,26,5
78,27,5
79,28,5
80,29,5
81,30,5
82,31,5
83,32,5
84,33,5
85,34,5
86,35,5
87,35,6
88,35,7
89,34,7
90,33,7
91,33,8
92,33,9
93,32,9
94,31,9
95,30,9
96,29,9
97,29,8
98,29,7
99,28,7
100,27,7
101,27,8
102,27,9
103,27,10
104,27,11
105,27,12
106,27,13
107,28,13
108,29,13
109,29,14
110,29,15
111,28,15
112,27,15
113,26,15
114,25,15
115,24,15
116,23,15
117,23,14
118,23,13
119,22,13
120,21,13
121,21,14
122,21,15
123,20,15
124,19,15
125,19,16
126,19,17
127,18,17
128,17,17
129,16,17
130,15,17
131,14,17
132,13,17
133,14,17
134,13,17
135,12,17
136,11,17
137,11,16
138,11,15
139,11,14
140,11,13
141,10,13
142,9,13
143,9,14
144,9,15
145,8,15
146,7,15
147,7,16
148,7,17
149,7,18
150,7,19
151,8,19
152,9,19
153,9,20
154,9,19
155,9,18
156,9,17
157,9,18
158,9,17
159,9,18
160,9,17
161,9,18
162,9,17
163,9,18
164,9,17
165,9,18
166,9,17
167,9,18
168,9,17
169,9,18
170,9,17
171,9,18
172,9,19
173,9,20
174,9,21
175,8,21
176,7,21
177,6,21
178,5,21
179,5,20
180,5,19
181,4,19
182,3,19
183,3,18
184,3,17
185,3,16
186,3,15
187,2,15
188,1,15
189,1,16
190,1,17
191,1,18
192,1,19
193,1,20
194,1,21
195,2,21
196,3,21
197,3,22
198,3,23
199,3,24
200,3,25
201,2,25
202,1,25
203,1,26
204,1,27
205,2,27
206,3,27
207,4,27
208,5,27
209,6,27
210,7,27
211,8,27
212,9,27
213,10,27
214,11,27
215,12,27
216,13,27
217,13,26
218,13,25
219,13,24
220,13,23
221,12,23
222,11,23
223,11,22
224,11,21
225,12,21
226,13,21
227,14,21
228,15,21
229,15,20
230,15,19
231,16,19
232,17,19
233,18,19
234,17,19
235,18,19
236,19,19
237,20,19
238,21,19
239,22,19
240,23,19
241,23,18
242,23,17
243,24,17
244,25,17
245,25,18
246,25,19
247,25,20
248,25,21
249,26,21
250,27,21
251,27,20
252,27,19
253,27,18
254,27,17
255,28,17
256,29,17
257,30,17
258,31,17
259,31,16
260,31,15
261,32,15
262,33,15
263,34,15
264,35,15
265,35,14
266,35,13
267,36,13
268,37,13
269,37,12
270,37,11
271,37,10
272,37,9
273,37,8
274,37,7
275,37,6
276,37,5
277,37,4
278,37,3
279,36,3
280,35,3
281,34,3
282,33,3
283,33,2
284,33,1
285,34,1
286,35,1
287,36,1
288,37,1
289,38,1
290,39,1
291,38,1
292,39,1
293,39,2
294,39,3
295,40,3
296,41,3
297,42,3
298,43,3
299,43,2
300,43,1
301,44,1
302,45,1
303,44,1
304,45,1
305,45,2
306,45,3
307,45,4
308,45,5
309,44,5
310,43,5
311,43,6
312,43,7
313,43,8
314,43,9
315,42,9
316,41,9
317,41,8
318,41,7
319,41,6
320,41,5
321,40,5
322,39,5
323,39,6
324,39,7
325,39,8
326,39,9
327,39,10
328,39,11
329,39,12
330,39,13
331,39,14
332,39,15
333,38,15
334,37,15
335,37,16
336,37,17
337,37,18
338,37,19
339,38,19
340,39,19
341,39,20
342,39,21
343,39,22
344,39,23
345,39,24
346,39,25
347,39,26
348,39,27
349,39,28
350,39,29
351,40,29
352,41,29
353,41,28
354,41,27
355,41,26
356,41,25
357,41,24
358,41,23
359,42,23
360,43,23
361,44,23
362,45,23
363,45,24
364,45,25
365,45,26
366,45,27
367,45,28
368,45,29
369,46,29
370,47,29
371,48,29
372,49,29
373,49,30
374,49,31
375,48,31
376,47,31
377,47,32
378,47,33
379,48,33
380,49,33
381,49,34
382,49,35
383,48,35
384,47,35
385,48,35
386,47,35
387,46,35
388,45,35
389,44,35
390,43,35
391,43,34
392,43,33
393,42,33
394,41,33
395,40,33
396,39,33
397,39,34
398,39,35
399,39,34
400,39,35
401,39,36
402,39,37
403,39,36
404,39,37
405,40,37
406,41,37
407,42,37
408,43,37
409,42,37
410,43,37
411,44,37
412,45,37
413,45,38
414,45,39
415,46,39
416,47,39
417,48,39
418,49,39
419,49,40
420,49,41
421,50,41
422,51,41
423,51,42
424,51,43
425,50,43
426,49,43
427,48,43
428,47,43
429,46,43
430,45,43
431,45,42
432,45,41
433,44,41
434,43,41
435,42,41
436,41,41
437,40,41
438,39,41
439,40,41
440,39,41
441,39,42
442,39,43
