,0,1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,5
6,3,5
7,4,5
8,5,5
9,5,4
10,5,3
11,4,3
12,5,3
13,6,3
14,7,3
15,8,3
16,9,3
17,10,3
18,11,3
19,11,2
20,11,1
21,12,1
22,13,1
23,13,2
24,13,3
25,13,4
26,13,5
27,14,5
28,15,5
29,16,5
30,17,5
31,18,5
32,19,5
33,18,5
34,19,5
35,19,4
36,19,3
37,20,3
38,21,3
39,22,3
40,23,3
41,23,4
42,23,5
43,22,5
44,21,5
45,21,6
46,21,7
47,20,7
48,19,7
49,19,8
50,19,9
51,18,9
52,17,9
53,17,10
54,17,11
55,18,11
56,19,11
57,20,11
58,21,11
59,21,10
60,21,9
61,22,9
62,23,9
63,24,9
64,25,9
65,24,9
66,25,9
67,25,8
68,25,7
69,25,6
70,25,5
71,26,5
72,27,5
73,28,5
74,29,5
75,30,5
76,31,5
77,32,5
78,33,5
79,34,5
80,35,5
81,35,6
82,35,7
83,34,7
84,33,7
85,33,8
86,33,9
87,32,9
88,31,9
89,30,9
90,29,9
91,29,8
92,29,7
93,28,7
94,27,7
95,27,8
96,27,9
97,27,10
98,27,11
99,27,12
100,27,13
101,28,13
102,29,13
103,29,14
104,29,15
105,29,14
106,29,15
107,28,15
108,27,15
109,26,15
110,25,15
111,24,15
112,23,15
113,23,14
114,23,13
115,22,13
116,21,13
117,21,14
118,21,15
119,20,15
120,19,15
121,19,16
122,19,17
123,18,17
124,17,17
125,16,17
126,15,17
127,14,17
128,13,17
129,12,17
130,11,17
131,11,16
132,11,15
133,11,14
134,11,13
135,10,13
136,9,13
137,9,14
138,9,15
139,8,15
140,7,15
141,7,16
142,7,17
143,7,18
144,7,19
145,8,19
146,9,19
147,9,20
148,9,21
149,8,21
150,7,21
151,6,21
152,5,21
153,5,20
154,5,19
155,4,19
156,3,19
157,3,18
158,3,17
159,3,16
160,3,15
161,2,15
162,1,15
163,1,16
164,1,17
165,1,18
166,1,19
167,1,20
168,1,21
169,2,21
170,3,21
171,3,22
172,3,23
173,3,24
174,3,25
175,3,24
176,3,25
177,2,25
178,1,25
179,1,26
180,1,27
181,2,27
182,3,27
183,4,27
184,5,27
185,6,27
186,7,27
187,8,27
188,9,27
189,10,27
190,11,27
191,12,27
192,13,27
193,13,26
194,13,27
195,13,26
196,13,25
197,13,24
198,13,23
199,12,23
200,11,23
201,11,22
202,11,21
203,11,22
204,11,21
205,12,21
206,13,21
207,14,21
208,15,21
209,15,20
210,15,19
211,16,19
212,17,19
213,18,19
214,19,19
215,20,19
216,21,19
