,0,1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,5
6,3,5
7,4,5
8,5,5
9,5,4
10,5,3
11,6,3
12,7,3
13,8,3
14,9,3
15,10,3
16,11,3
17,11,2
18,11,3
19,11,2
20,11,1
21,12,1
22,13,1
23,13,2
24,13,3
25,13,4
26,13,5
27,14,5
28,15,5
29,16,5
30,17,5
31,18,5
32,17,5
33,18,5
34,19,5
35,19,4
36,19,3
37,20,3
38,21,3
39,22,3
40,23,3
41,23,4
42,23,5
43,22,5
44,21,5
45,21,6
46,21,7
47,20,7
48,19,7
49,19,8
50,19,9
51,18,9
52,17,9
53,18,9
54,17,9
55,17,10
56,17,11
57,18,11
58,19,11
59,20,11
60,21,11
61,20,11
62,21,11
63,21,10
64,21,11
65,21,10
66,21,9
67,21,10
68,21,9
69,22,9
70,23,9
71,24,9
72,25,9
73,25,8
74,25,7
75,25,6
76,25,5
77,26,5
78,27,5
79,28,5
80,29,5
81,30,5
82,31,5
83,32,5
84,33,5
85,34,5
86,35,5
87,35,6
88,35,7
89,34,7
90,33,7
91,33,8
92,33,9
93,32,9
94,31,9
95,30,9
96,29,9
97,29,8
98,29,7
99,28,7
100,27,7
101,27,8
102,27,9
103,27,10
104,27,9
105,27,10
106,27,9
107,27,10
108,27,11
109,27,12
110,27,13
111,28,13
112,29,13
113,29,14
114,29,15
115,28,15
116,27,15
117,26,15
118,25,15
119,24,15
120,23,15
121,23,14
122,23,13
123,23,14
124,23,13
125,22,13
126,21,13
127,21,14
128,21,15
129,20,15
130,19,15
131,19,16
132,19,17
133,18,17
134,17,17
135,16,17
136,15,17
137,14,17
138,13,17
139,12,17
140,11,17
141,12,17
142,11,17
143,11,16
144,11,15
145,11,14
146,11,13
147,10,13
148,9,13
149,9,14
150,9,15
151,8,15
152,7,15
153,8,15
154,7,15
155,7,16
156,7,17
157,7,18
158,7,19
159,8,19
160,9,19
161,9,20
162,9,21
163,8,21
164,7,21
165,6,21
166,5,21
167,5,20
168,5,19
169,4,19
170,3,19
171,3,18
172,3,17
173,3,16
174,3,15
175,2,15
176,1,15
177,1,16
178,1,17
179,1,18
180,1,19
181,1,20
182,1,21
183,2,21
184,3,21
185,3,22
186,3,23
187,3,24
188,3,25
189,2,25
190,1,25
191,1,26
192,1,27
193,2,27
194,3,27
195,4,27
196,5,27
197,6,27
198,7,27
199,8,27
200,9,27
201,10,27
202,11,27
203,12,27
204,11,27
205,12,27
206,13,27
207,13,26
208,13,25
209,13,24
210,13,23
211,12,23
212,11,23
213,11,22
214,11,21
215,12,21
216,13,21
