,0,1
0,1,1
1,1,2
2,1,3
3,1,2
4,1,3
5,1,4
6,1,5
7,2,5
8,3,5
9,4,5
10,5,5
11,5,4
12,5,3
13,6,3
14,7,3
15,8,3
16,9,3
17,10,3
18,11,3
19,11,2
20,11,1
21,12,1
22,13,1
23,13,2
24,13,3
25,13,4
26,13,5
27,14,5
28,15,5
29,16,5
30,17,5
31,18,5
32,19,5
33,19,4
34,19,3
35,20,3
36,21,3
37,22,3
38,23,3
39,23,4
40,23,5
41,22,5
42,23,5
43,22,5
44,21,5
45,21,6
46,21,7
47,20,7
48,19,7
49,20,7
50,19,7
51,19,8
52,19,9
53,18,9
54,17,9
55,17,10
56,17,11
57,18,11
58,19,11
59,20,11
60,21,11
61,21,10
62,21,9
63,22,9
64,23,9
65,24,9
66,25,9
67,25,8
68,25,7
69,25,6
70,25,5
71,26,5
72,25,5
73,26,5
74,27,5
75,28,5
76,29,5
77,30,5
78,31,5
79,32,5
80,33,5
81,34,5
82,35,5
83,35,6
84,35,7
85,34,7
86,33,7
87,33,8
88,33,9
89,32,9
90,31,9
91,30,9
92,29,9
93,29,8
94,29,9
95,29,8
96,29,7
97,28,7
98,27,7
99,27,8
100,27,9
101,27,10
102,27,11
103,27,12
104,27,13
105,28,13
106,29,13
107,29,14
108,29,15
109,29,14
110,29,15
111,28,15
112,27,15
113,26,15
114,25,15
115,24,15
116,23,15
117,23,14
118,23,13
119,22,13
120,21,13
121,21,14
122,21,15
123,20,15
124,19,15
125,19,16
126,19,17
127,18,17
128,17,17
129,16,17
130,15,17
131,14,17
132,13,17
133,12,17
134,11,17
135,11,16
136,11,15
137,11,14
138,11,13
139,10,13
140,9,13
141,9,14
142,9,15
143,8,15
144,7,15
145,7,16
146,7,17
147,7,18
148,7,19
149,8,19
150,9,19
151,9,20
152,9,21
153,8,21
154,7,21
155,6,21
156,5,21
157,5,20
158,5,19
159,4,19
160,3,19
161,3,18
162,3,17
163,3,18
164,3,17
165,3,16
166,3,15
167,2,15
168,1,15
169,1,16
170,1,17
171,1,18
172,1,19
173,1,20
174,1,21
175,2,21
176,3,21
177,3,22
178,3,23
179,3,24
180,3,25
181,2,25
182,1,25
183,1,26
184,1,27
185,2,27
186,1,27
187,2,27
188,3,27
189,4,27
190,5,27
191,6,27
192,7,27
193,8,27
194,9,27
195,10,27
196,11,27
197,12,27
198,13,27
199,13,26
200,13,25
201,13,24
202,13,23
203,12,23
204,11,23
205,11,22
206,11,21
207,12,21
208,13,21
209,14,21
210,15,21
211,15,20
212,15,19
213,16,19
214,17,19
215,18,19
216,19,19
