,0,1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,5
6,3,5
7,4,5
8,5,5
9,5,4
10,5,3
11,6,3
12,7,3
13,8,3
14,9,3
15,10,3
16,11,3
17,11,2
18,11,1
19,12,1
20,13,1
21,13,2
22,13,3
23,13,4
24,13,5
25,14,5
26,15,5
27,16,5
28,17,5
29,18,5
30,19,5
31,19,4
32,19,3
33,19,4
34,19,3
35,20,3
36,21,3
37,22,3
38,23,3
39,23,4
40,23,5
41,22,5
42,21,5
43,21,6
44,21,7
45,20,7
46,19,7
47,19,8
48,19,9
49,18,9
50,17,9
51,17,10
52,17,11
53,18,11
54,19,11
55,20,11
56,21,11
57,21,10
58,21,9
59,22,9
60,23,9
61,24,9
62,25,9
63,25,8
64,25,7
65,25,6
66,25,5
67,26,5
68,27,5
69,28,5
70,29,5
71,30,5
72,31,5
73,32,5
74,33,5
75,34,5
76,35,5
77,35,6
78,35,7
79,34,7
80,33,7
81,33,8
82,33,9
83,32,9
84,31,9
85,30,9
86,29,9
87,29,8
88,29,7
89,28,7
90,27,7
91,27,8
92,27,9
93,27,8
94,27,9
95,27,10
96,27,11
97,27,12
98,27,13
99,28,13
100,27,13
101,28,13
102,29,13
103,29,14
104,29,15
105,28,15
106,27,15
107,28,15
108,27,15
109,26,15
110,25,15
111,24,15
112,23,15
113,23,14
114,23,13
115,22,13
116,21,13
117,21,14
118,21,15
119,20,15
120,19,15
121,19,16
122,19,17
123,18,17
124,17,17
125,16,17
126,15,17
127,14,17
128,13,17
129,12,17
130,11,17
131,11,16
132,11,15
133,11,14
134,11,13
135,10,13
136,9,13
137,9,14
138,9,13
139,9,14
140,9,13
141,9,14
142,9,15
143,8,15
144,7,15
145,7,16
146,7,17
147,7,18
148,7,19
149,8,19
150,9,19
151,9,20
152,9,21
153,8,21
154,7,21
155,6,21
156,5,21
157,5,20
158,5,19
159,4,19
160,3,19
161,3,18
162,3,17
163,3,16
164,3,15
165,2,15
166,1,15
167,1,16
168,1,17
169,1,18
170,1,19
171,1,20
172,1,21
173,2,21
174,3,21
175,3,22
176,3,23
177,3,24
178,3,25
179,2,25
180,1,25
181,1,26
182,1,27
183,2,27
184,3,27
185,4,27
186,5,27
187,6,27
188,7,27
189,6,27
190,7,27
191,8,27
192,9,27
193,10,27
194,11,27
195,12,27
196,13,27
197,13,26
198,13,25
199,13,24
200,13,23
201,12,23
202,11,23
203,11,22
204,11,21
205,12,21
206,13,21
207,14,21
208,15,21
209,15,20
210,15,19
211,16,19
212,17,19
213,18,19
214,19,19
215,20,19
216,21,19
