,0,1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,5
6,3,5
7,4,5
8,5,5
9,5,4
10,5,3
11,6,3
12,7,3
13,8,3
14,9,3
15,10,3
16,11,3
17,11,2
18,11,1
19,12,1
20,13,1
21,13,2
22,13,3
23,13,4
24,13,5
25,14,5
26,15,5
27,16,5
28,17,5
29,18,5
30,19,5
31,19,4
32,19,3
33,20,3
34,21,3
35,22,3
36,23,3
37,23,4
38,23,5
39,22,5
40,21,5
41,21,6
42,21,7
43,20,7
44,19,7
45,19,8
46,19,9
47,18,9
48,17,9
49,17,10
50,17,11
51,18,11
52,19,11
53,20,11
54,21,11
55,21,10
56,21,9
57,22,9
58,23,9
59,24,9
60,25,9
61,25,8
62,25,7
63,25,6
64,25,5
65,26,5
66,27,5
67,28,5
68,29,5
69,30,5
70,31,5
71,32,5
72,33,5
73,34,5
74,35,5
75,35,6
76,35,7
77,34,7
78,33,7
79,33,8
80,33,9
81,32,9
82,31,9
83,30,9
84,29,9
85,29,8
86,29,7
87,28,7
88,27,7
89,27,8
90,27,9
91,27,10
92,27,11
93,27,12
94,27,13
95,28,13
96,29,13
97,29,14
98,29,15
99,28,15
100,27,15
101,26,15
102,25,15
103,24,15
104,23,15
105,23,14
106,23,13
107,22,13
108,21,13
109,21,14
110,21,15
111,20,15
112,19,15
113,20,15
114,19,15
115,19,16
116,19,17
117,18,17
118,17,17
119,16,17
120,15,17
121,14,17
122,13,17
123,14,17
124,13,17
125,12,17
126,11,17
127,11,16
128,11,15
129,11,14
130,11,13
131,10,13
132,9,13
133,9,14
134,9,15
135,8,15
136,9,15
137,8,15
138,7,15
139,8,15
140,9,15
141,8,15
142,7,15
143,7,16
144,7,17
145,7,18
146,7,19
147,8,19
148,9,19
149,9,20
150,9,21
151,8,21
152,9,21
153,8,21
154,7,21
155,6,21
156,5,21
157,5,20
158,5,19
159,4,19
160,3,19
161,3,18
162,3,17
163,3,16
164,3,17
165,3,16
166,3,15
167,2,15
168,1,15
169,1,16
170,1,17
171,1,18
172,1,19
173,1,18
174,1,19
175,1,20
176,1,21
177,2,21
178,3,21
179,3,22
180,3,23
181,3,24
182,3,25
183,2,25
184,1,25
185,1,26
186,1,27
187,2,27
188,3,27
189,4,27
190,5,27
191,6,27
192,7,27
193,6,27
194,7,27
195,6,27
196,7,27
197,8,27
198,9,27
199,10,27
200,11,27
201,12,27
202,13,27
203,13,26
204,13,25
205,13,24
206,13,23
207,12,23
208,11,23
209,11,22
210,11,21
211,12,21
212,13,21
213,14,21
214,15,21
215,15,20
216,15,19
