,0,1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,5
6,3,5
7,4,5
8,5,5
9,5,4
10,5,3
11,6,3
12,7,3
13,8,3
14,9,3
15,10,3
16,11,3
17,11,2
18,11,1
19,12,1
20,13,1
21,13,2
22,13,3
23,13,2
24,13,3
25,13,4
26,13,5
27,14,5
28,15,5
29,16,5
30,17,5
31,18,5
32,19,5
33,19,4
34,19,3
35,20,3
36,19,3
37,20,3
38,21,3
39,22,3
40,23,3
41,23,4
42,23,5
43,22,5
44,21,5
45,21,6
46,21,7
47,20,7
48,19,7
49,19,8
50,19,9
51,19,8
52,19,9
53,18,9
54,17,9
55,17,10
56,17,9
57,17,10
58,17,11
59,18,11
60,19,11
61,20,11
62,21,11
63,21,10
64,21,9
65,22,9
66,23,9
67,24,9
68,25,9
69,24,9
70,23,9
71,24,9
72,25,9
73,25,8
74,25,7
75,25,6
76,25,5
77,26,5
78,27,5
79,28,5
80,29,5
81,30,5
82,31,5
83,32,5
84,33,5
85,34,5
86,35,5
87,35,6
88,35,7
89,34,7
90,33,7
91,33,8
92,33,9
93,32,9
94,31,9
95,30,9
96,29,9
97,29,8
98,29,7
99,28,7
100,27,7
101,28,7
102,27,7
103,27,8
104,27,9
105,27,10
106,27,11
107,27,12
108,27,13
109,28,13
110,29,13
111,29,14
112,29,15
113,28,15
114,27,15
115,26,15
116,25,15
117,24,15
118,23,15
119,23,14
120,23,13
121,22,13
122,21,13
123,21,14
124,21,15
125,20,15
126,19,15
127,19,16
128,19,17
129,18,17
130,17,17
131,16,17
132,15,17
133,14,17
134,13,17
135,12,17
136,11,17
137,11,16
138,11,15
139,11,14
140,11,13
141,10,13
142,9,13
143,9,14
144,9,15
145,8,15
146,7,15
147,7,16
148,7,17
149,7,18
150,7,19
151,8,19
152,9,19
153,9,18
154,9,17
155,9,18
156,9,19
157,9,20
158,9,21
159,8,21
160,7,21
161,6,21
162,5,21
163,5,20
164,5,19
165,4,19
166,3,19
167,3,18
168,3,17
169,3,16
170,3,15
171,2,15
172,1,15
173,1,16
174,1,17
175,1,18
176,1,19
177,1,20
178,1,21
179,2,21
180,3,21
181,3,22
182,3,23
183,3,24
184,3,25
185,2,25
186,3,25
187,2,25
188,1,25
189,1,26
190,1,27
191,2,27
192,3,27
193,4,27
194,5,27
195,6,27
196,7,27
197,6,27
198,7,27
199,8,27
200,9,27
201,10,27
202,11,27
203,12,27
204,13,27
205,13,26
206,13,25
207,13,24
208,13,23
209,12,23
210,11,23
211,11,22
212,11,21
213,12,21
214,13,21
215,14,21
216,15,21
