,0,1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,5
6,3,5
7,4,5
8,5,5
9,5,4
10,5,3
11,6,3
12,7,3
13,8,3
14,9,3
15,10,3
16,11,3
17,11,2
18,11,1
19,12,1
20,13,1
21,13,2
22,13,3
23,13,4
24,13,5
25,14,5
26,15,5
27,16,5
28,17,5
29,18,5
30,19,5
31,19,4
32,19,3
33,20,3
34,21,3
35,22,3
36,23,3
37,23,4
38,23,5
39,22,5
40,21,5
41,21,6
42,21,7
43,20,7
44,19,7
45,19,8
46,19,9
47,18,9
48,17,9
49,17,10
50,17,11
51,18,11
52,19,11
53,20,11
54,21,11
55,21,10
56,21,9
57,21,10
58,21,9
59,22,9
60,23,9
61,24,9
62,25,9
63,25,8
64,25,7
65,25,6
66,25,7
67,25,6
68,25,5
69,26,5
70,25,5
71,26,5
72,27,5
73,28,5
74,29,5
75,30,5
76,31,5
77,32,5
78,33,5
79,34,5
80,35,5
81,35,6
82,35,5
83,35,6
84,35,7
85,34,7
86,33,7
87,33,8
88,33,9
89,32,9
90,31,9
91,30,9
92,29,9
93,29,8
94,29,7
95,28,7
96,27,7
97,27,8
98,27,9
99,27,10
100,27,11
101,27,12
102,27,13
103,28,13
104,29,13
105,29,14
106,29,15
107,28,15
108,27,15
109,26,15
110,27,15
111,26,15
112,25,15
113,24,15
114,23,15
115,23,14
116,23,13
117,22,13
118,21,13
119,21,14
120,21,15
121,20,15
122,19,15
123,19,16
124,19,17
125,18,17
126,19,17
127,18,17
128,17,17
129,16,17
130,15,17
131,14,17
132,15,17
133,14,17
134,13,17
135,12,17
136,11,17
137,11,16
138,11,15
139,11,14
140,11,13
141,10,13
142,9,13
143,9,14
144,9,15
145,8,15
146,7,15
147,7,16
148,7,17
149,7,18
150,7,19
151,8,19
152,9,19
153,9,20
154,9,21
155,8,21
156,7,21
157,6,21
158,5,21
159,5,20
160,5,19
161,4,19
162,3,19
163,3,18
164,3,17
165,3,16
166,3,15
167,2,15
168,1,15
169,1,16
170,1,17
171,1,18
172,1,19
173,1,20
174,1,21
175,2,21
176,3,21
177,3,22
178,3,23
179,3,24
180,3,25
181,2,25
182,1,25
183,1,26
184,1,27
185,2,27
186,3,27
187,4,27
188,5,27
189,6,27
190,7,27
191,8,27
192,9,27
193,10,27
194,11,27
195,12,27
196,13,27
197,13,26
198,13,25
199,13,24
200,13,23
201,13,24
202,13,23
203,12,23
204,11,23
205,11,22
206,11,21
207,12,21
208,13,21
209,14,21
210,15,21
211,15,20
212,15,19
213,16,19
214,17,19
215,18,19
216,19,19
