,0,1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,5
6,3,5
7,4,5
8,5,5
9,5,4
10,5,5
11,5,4
12,5,3
13,6,3
14,7,3
15,8,3
16,9,3
17,10,3
18,11,3
19,11,2
20,11,1
21,12,1
22,13,1
23,13,2
24,13,3
25,13,4
26,13,5
27,14,5
28,15,5
29,16,5
30,17,5
31,18,5
32,19,5
33,19,4
34,19,3
35,20,3
36,21,3
37,22,3
38,23,3
39,23,4
40,23,5
41,22,5
42,21,5
43,21,6
44,21,7
45,20,7
46,19,7
47,19,8
48,19,9
49,18,9
50,17,9
51,17,10
52,17,11
53,18,11
54,19,11
55,20,11
56,21,11
57,21,10
58,21,9
59,22,9
60,23,9
61,24,9
62,25,9
63,25,8
64,25,7
65,25,6
66,25,7
67,25,6
68,25,5
69,26,5
70,27,5
71,28,5
72,29,5
73,30,5
74,31,5
75,32,5
76,33,5
77,34,5
78,35,5
79,35,6
80,35,7
81,34,7
82,33,7
83,33,8
84,33,9
85,32,9
86,31,9
87,32,9
88,31,9
89,30,9
90,29,9
91,29,8
92,29,7
93,28,7
94,27,7
95,27,8
96,27,9
97,27,10
98,27,11
99,27,12
100,27,13
101,28,13
102,29,13
103,29,14
104,29,15
105,28,15
106,27,15
107,26,15
108,25,15
109,24,15
110,23,15
111,23,14
112,23,13
113,22,13
114,21,13
115,21,14
116,21,15
117,20,15
118,19,15
119,19,16
120,19,17
121,18,17
122,17,17
123,16,17
124,15,17
125,14,17
126,13,17
127,12,17
128,11,17
129,11,16
130,11,15
131,11,14
132,11,13
133,10,13
134,9,13
135,9,14
136,9,15
137,8,15
138,7,15
139,7,16
140,7,17
141,7,18
142,7,19
143,8,19
144,9,19
145,9,20
146,9,21
147,8,21
148,7,21
149,6,21
150,5,21
151,5,20
152,5,19
153,4,19
154,3,19
155,3,18
156,3,17
157,3,16
158,3,15
159,2,15
160,1,15
161,1,16
162,1,17
163,1,18
164,1,19
165,1,20
166,1,21
167,2,21
168,3,21
169,3,22
170,3,23
171,3,24
172,3,25
173,2,25
174,1,25
175,1,26
176,1,27
177,2,27
178,3,27
179,4,27
180,5,27
181,6,27
182,7,27
183,8,27
184,9,27
185,10,27
186,11,27
187,12,27
188,13,27
189,12,27
190,13,27
191,13,26
192,13,25
193,13,24
194,13,23
195,12,23
196,11,23
197,11,22
198,11,21
199,12,21
200,13,21
201,14,21
202,15,21
203,15,20
204,15,19
205,16,19
206,17,19
207,18,19
208,19,19
209,20,19
210,21,19
211,22,19
212,23,19
213,23,18
214,23,17
215,24,17
216,25,17
