,0,1
0,1,1
1,1,2
2,1,3
3,1,4
4,1,5
5,2,5
6,3,5
7,4,5
8,3,5
9,4,5
10,5,5
11,5,4
12,5,3
13,6,3
14,7,3
15,8,3
16,9,3
17,10,3
18,9,3
19,10,3
20,11,3
21,11,2
22,11,1
23,12,1
24,13,1
25,13,2
26,13,3
27,13,4
28,13,5
29,13,4
30,13,5
31,14,5
32,15,5
33,16,5
34,17,5
35,18,5
36,19,5
37,19,4
38,19,3
39,20,3
40,21,3
41,22,3
42,23,3
43,23,4
44,23,5
45,22,5
46,21,5
47,21,6
48,21,7
49,20,7
50,19,7
51,19,8
52,19,9
53,18,9
54,17,9
55,17,10
56,17,11
57,18,11
58,19,11
59,20,11
60,21,11
61,21,10
62,21,9
63,22,9
64,23,9
65,24,9
66,25,9
67,25,8
68,25,9
69,25,8
70,25,7
71,25,6
72,25,5
73,26,5
74,27,5
75,28,5
76,29,5
77,30,5
78,31,5
79,32,5
80,33,5
81,34,5
82,35,5
83,35,6
84,35,7
85,34,7
86,33,7
87,33,8
88,33,9
89,32,9
90,31,9
91,30,9
92,29,9
93,29,8
94,29,7
95,28,7
96,27,7
97,27,8
98,27,9
99,27,10
100,27,11
101,27,12
102,27,13
103,28,13
104,29,13
105,29,14
106,29,15
107,28,15
108,27,15
109,26,15
110,25,15
111,24,15
112,23,15
113,23,14
114,23,13
115,22,13
116,21,13
117,21,14
118,21,15
119,20,15
120,19,15
121,19,16
122,19,17
123,18,17
124,17,17
125,16,17
126,15,17
127,14,17
128,13,17
129,12,17
130,11,17
131,11,16
132,11,15
133,11,14
134,11,13
135,10,13
136,9,13
137,9,14
138,9,15
139,8,15
140,7,15
141,7,16
142,7,17
143,7,18
144,7,19
145,8,19
146,9,19
147,9,20
148,9,21
149,8,21
150,7,21
151,6,21
152,5,21
153,5,20
154,5,19
155,4,19
156,3,19
157,4,19
158,3,19
159,3,18
160,3,17
161,3,16
162,3,15
163,2,15
164,1,15
165,1,16
166,1,17
167,1,18
168,1,19
169,1,20
170,1,21
171,2,21
172,3,21
173,3,22
174,3,23
175,3,24
176,3,25
177,2,25
178,1,25
179,1,26
180,1,27
181,2,27
182,3,27
183,4,27
184,5,27
185,6,27
186,7,27
187,8,27
188,9,27
189,10,27
190,11,27
191,12,27
192,13,27
193,13,26
194,13,25
195,13,24
196,13,23
197,12,23
198,11,23
199,11,22
200,11,21
201,12,21
202,13,21
203,14,21
204,15,21
205,15,20
206,15,19
207,16,19
208,17,19
209,18,19
210,19,19
211,20,19
212,21,19
213,22,19
214,23,19
215,23,18
216,23,17
